Genus,Genus taxid,16S gene count
Salegentibacter,143222,3.0
Salimicrobium,351195,7.0
Salinarchaeum,1269201,1.0
Salinibacter,146918,1.0
Salinibacterium,235888,2.0
Salinicoccus,45669,4.0
Salinicola,404432,5.0
Salinigranum,1644057,2.0
Salinimonas,288793,4.5
Salinisphaera,180541,2.0
Salinispira,1616789,2.0
Salinispora,168694,3.0
Salinivirga,1970191,3.0
Salipiger,263377,4.0
Salmonella,590,7.0
Sandaracinus,1055688,2.0
Sanguibacter,60919,4.0
Saprospira,1007,3.0
Scardovia,196081,2.0
Sebaldella,32068,4.0
Sedimenticola,349742,2.0
Sediminicola,389486,3.0
Sediminispirochaeta,1911556,2.0
Segniliparus,286801,1.0
Selenomonas,970,4.0
Seonamhaeicola,1649495,2.0
Serinicoccus,265976,2.0
Serratia,613,7.0
Shewanella,22,9.0
Shigella,620,7.0
Shimwellia,1335483,8.0
Shinella,323620,3.0
Siansivirga,1204360,3.0
Sideroxydans,314343,2.0
Simiduia,447467,3.0
Simkania,34093,1.0
Simonsiella,71,5.0
Simplicispira,352450,3.0
Singulisphaera,466152,8.0
Sinomonas,596707,4.0
Sinorhizobium,28105,3.0
Slackia,84108,2.0
Sneathia,168808,3.0
Snodgrassella,1193515,4.0
Sodalis,84565,7.0
Solibacillus,648800,12.0
Solimonas,413435,2.0
Solitalea,929509,4.0
Sorangium,39643,4.0
Sphaerobacter,2056,2.0
Sphaerochaeta,399320,4.0
Sphingobacterium,28453,7.0
Sphingobium,165695,3.0
Sphingomonas,13687,2.0
Sphingopyxis,165697,1.0
Sphingorhabdus,1434046,2.0
Spiribacter,1335745,1.0
Spirochaeta,146,2.0
Spiroplasma,2132,1.0
Spirosoma,107,3.0
Spongiibacter,630749,2.0
Sporosarcina,1569,8.0
Stackebrandtia,283810,2.0
Stanieria,102115,2.0
Staphylococcus,1279,6.0
Staphylothermus,2279,1.0
Starkeya,152053,1.0
Stenotrophomonas,40323,4.0
Stenoxybacter,422440,4.0
Steroidobacter,469322,1.0
Stigmatella,40,2.0
Streptacidiphilus,228398,8.0
Streptobacillus,34104,5.0
Streptococcus,1301,6.0
Streptomyces,1883,6.0
Streptosporangium,2000,6.0
Sulfitobacter,60136,1.5
Sulfolobus,2284,1.0
Sulfuricaulis,1744881,1.0
Sulfuricella,935200,2.0
Sulfuricurvum,286130,3.0
Sulfuriferula,1778653,3.0
Sulfurifustis,1692042,1.0
Sulfurihydrogenibium,212790,2.5
Sulfurimonas,202746,4.0
Sulfurisphaera,69655,1.0
Sulfuritalea,1054211,2.0
Sulfurospirillum,57665,3.0
Sulfurovum,265570,3.0
Symbiobacterium,2733,6.0
Synechococcus,1129,2.0
Synechocystis,1142,2.0
Syntrophobacter,29526,2.0
Syntrophobotulus,51196,4.0
Syntrophomonas,862,3.0
Syntrophothermus,129001,2.0
Syntrophus,43773,1.0
Tamlana,393005,3.0
Tannerella,195950,2.0
Tateyamaria,299261,1.0
Tatlockia,465,3.0
Tatumella,82986,7.0
Taylorella,29574,3.0
Tenacibaculum,104267,4.5
Tepidanaerobacter,499228,2.0
Teredinibacter,2425,3.0
Terribacillus,459532,8.0
Terriglobus,392733,1.0
Tessaracoccus,72763,2.0
Tetragenococcus,51668,5.0
Thalassococcus,436357,1.0
Thalassolituus,187492,4.0
Thalassospira,168934,4.0
Thalassotalea,1518149,6.0
Thauera,33057,4.0
Thermacetogenium,140458,3.0
Thermaerobacter,73918,2.0
Thermanaerovibrio,81461,3.0
Thermincola,278993,3.0
Thermoanaerobacter,1754,4.0
Thermoanaerobacterium,28895,5.0
Thermobacillus,76632,5.0
Thermobaculum,262406,2.0
Thermobifida,83677,4.0
Thermobispora,147067,4.0
Thermoclostridium,2304691,3.0
Thermococcus,2263,1.0
Thermocrinis,75905,1.0
Thermodesulfatator,241192,2.0
Thermodesulfobacterium,1740,1.0
Thermodesulfobium,227388,2.0
Thermodesulfovibrio,28261,1.0
Thermofilum,2268,1.0
Thermogladius,477695,1.0
Thermogutta,1676125,1.0
Thermomicrobium,499,2.0
Thermomonospora,2019,4.0
Thermoplasma,2302,1.0
Thermoproteus,2270,1.0
Thermosediminibacter,291988,3.0
Thermosipho,2420,4.0
Thermosphaera,54253,1.0
Thermostaphylospora,2071601,6.0
Thermosulfidibacter,412592,1.0
Thermosynechococcus,146785,1.0
Thermotoga,2335,1.0
Thermovibrio,171868,3.0
Thermovirga,336260,3.0
Thermus,270,2.0
Thioalkalivibrio,106633,1.0
Thiobacillus,919,2.0
Thioclava,285107,3.0
Thiocystis,13724,3.0
Thiodictyon,53392,2.0
Thioflavicoccus,156885,2.0
Thiohalobacter,1273155,1.0
Thiolapillus,1608298,1.0
Thiomicrospira,933,2.0
Thiomonas,32012,1.0
Thioploca,40751,1.0
Tistrella,171436,4.0
Tolumonas,43947,8.0
Treponema,157,2.0
Trichodesmium,1205,2.0
Trichormus,264688,4.0
Tropheryma,2038,1.0
Truepera,332248,2.0
Trueperella,1069494,2.0
Tsukamurella,2060,2.0
Turicibacter,191303,12.0
Turneriella,338321,2.0
Ureaplasma,2129,2.0
Vagococcus,2737,5.5
Variibacter,1649510,1.0
Variovorax,34072,2.0
Veillonella,29465,4.0
Verminephrobacter,364316,3.0
Verrucosispora,84593,3.0
Vibrio,662,10.0
Virgibacillus,84406,7.0
Vitreoscilla,59,4.5
Vulcanisaeta,164450,1.0
Vulgatibacter,1524214,3.0
Waddlia,71666,2.0
Weeksella,1013,5.0
Weissella,46255,8.0
Wenyingzhuangia,1518147,4.0
Wenzhouxiangella,1676142,1.0
Wigglesworthia,51228,2.0
Winogradskyella,286104,2.0
Woeseia,1738655,1.0
Wolbachia,953,1.0
Wolinella,843,3.0
Xanthobacter,279,2.0
Xanthomonas,338,2.0
Xenorhabdus,626,7.0
Xylanimonas,186188,3.0
Xylella,2370,2.0
Yangia,354203,5.0
Yersinia,629,7.0
Yoonia,2211641,2.0
Zhongshania,1434050,3.0
Zobellella,347533,8.0
Zobellia,112040,2.0
Zunongwangia,417127,3.0
Zymomonas,541,3.0
