,Accession,IDBD #,Detected Organism,log(Genomic Equivalents)/ml,log(cfu/ml),Plate count log(cfu)/ml
54,IDBD-D100458,IDbyDNA-5442,Escherichia coli,8.453079598932018,5.0,6.041392685158225
55,IDBD-D100459,IDbyDNA-5443,Escherichia coli,9.603570382612608,5.0,6.146128035678238
56,IDBD-D100446,IDbyDNA-5444,Escherichia coli,9.64154724769069,5.0,5.301029995663981
57,IDBD-D100438,IDbyDNA-5445,Klebsiella pneumoniae,8.459430784598723,4.698970004336019,5.060697840353612
58,IDBD-D100439,IDbyDNA-5446,Klebsiella pneumoniae,6.9429108662029355,4.698970004336019,5.311753861055754
59,IDBD-D100440,IDbyDNA-5447,Coagulase negative,,4.0,4.778151250383644
60,IDBD-D100441,IDbyDNA-5448,Beta Hemolytic,,4.301029995663981,
61,IDBD-D100442,IDbyDNA-5449,Streptococcus dysgalactiae,5.397043068397067,4.477121254719663,
62,IDBD-D100443,IDbyDNA-5450,Beta Hemolytic,7.168485119781119,4.698970004336019,4.8750612633917
63,IDBD-D100444,IDbyDNA-5451,Beta Hemolytic,6.488704827760824,4.698970004336019,4.903089986991944
64,IDBD-D100445,IDbyDNA-5452,Beta Hemolytic,6.661334236228557,4.698970004336019,4.903089986991944
65,IDBD-D100461,IDbyDNA-5453,Escherichia coli,8.68199371758011,5.0,6.079181246047625
66,IDBD-D100462,IDbyDNA-5454,Escherichia coli,8.593826202630616,5.0,6.113943352306837
67,IDBD-D100463,IDbyDNA-5455,Escherichia coli,7.789847532392834,5.0,5.6020599913279625
68,IDBD-D100464,IDbyDNA-5456,Escherichia coli,7.960916229888724,5.0,6.041392685158225
69,IDBD-D100465,IDbyDNA-5457,Escherichia coli,9.878884099606204,5.0,6.041392685158225
70,IDBD-D100466,IDbyDNA-5458,Escherichia coli,9.168764683717379,5.0,6.278753600952829
71,IDBD-D100467,IDbyDNA-5459,Escherichia coli,8.41687784268019,5.0,6.146128035678238
72,IDBD-D100468,IDbyDNA-5460,Escherichia coli,7.900525042276616,5.0,5.6020599913279625
73,IDBD-D100469,IDbyDNA-5461,Escherichia coli,9.376763586915423,5.0,6.204119982655925
74,IDBD-D100470,IDbyDNA-5462,Escherichia coli,8.357402197305596,5.0,6.2552725051033065
75,IDBD-D100471,IDbyDNA-5463,Escherichia coli,9.929365039582281,5.0,6.3222192947339195
76,IDBD-D100472,IDbyDNA-5464,Escherichia coli,7.9609728351279445,5.0,5.778151250383644
77,IDBD-D100473,IDbyDNA-5465,Escherichia coli,8.912036625194842,5.0,6.301029995663981
78,IDBD-D100474,IDbyDNA-5466,Escherichia coli,8.411143879713284,5.0,6.3222192947339195
79,IDBD-D100475,IDbyDNA-5467,Escherichia coli,9.736950750176241,5.0,6.342422680822207
80,IDBD-D100476,IDbyDNA-5468,Escherichia coli,9.259977801631381,5.0,5.954242509439325
81,IDBD-D100477,IDbyDNA-5469,Escherichia coli,6.833513391127157,5.0,5.477121254719663
82,IDBD-D100478,IDbyDNA-5470,Escherichia coli,8.48799863979358,5.0,6.041392685158225
83,IDBD-D100479,IDbyDNA-5471,Escherichia coli,9.06739107122033,5.0,6.079181246047625
84,IDBD-D100480,IDbyDNA-5472,Escherichia coli,8.498816256149228,5.0,5.6020599913279625
85,IDBD-D100481,IDbyDNA-5473,Escherichia coli,9.108257050413467,5.0,6.079181246047625
86,IDBD-D100482,IDbyDNA-5474,Escherichia coli,8.179008985106478,5.0,5.6020599913279625
87,IDBD-D100483,IDbyDNA-5475,Escherichia coli,8.288760352350259,5.0,5.698970004336019
88,IDBD-D100484,IDbyDNA-5476,Escherichia coli,8.71342755889932,5.0,5.903089986991944
89,IDBD-D100485,IDbyDNA-5477,Escherichia coli,8.80426857356995,5.0,5.954242509439325
90,IDBD-D100491,IDbyDNA-5479,Escherichia coli,7.951325223975369,5.0,6.176091259055681
91,IDBD-D100490,IDbyDNA-5480,Escherichia coli,8.462837616351347,5.0,5.6020599913279625
92,IDBD-D100489,IDbyDNA-5481,Escherichia coli,8.196292810902655,5.0,5.698970004336019
93,IDBD-D100488,IDbyDNA-5482,Escherichia coli,7.571253944067919,5.0,5.778151250383644
94,IDBD-D100487,IDbyDNA-5483,Escherichia coli,7.0210796370755055,5.0,5.469822015978163
95,IDBD-D100486,IDbyDNA-5484,Escherichia coli,8.615117969893888,5.0,5.778151250383644
96,IDBD-D100509,IDbyDNA-5418,Escherichia coli,,4.301029995663981,4.176091259055681
97,IDBD-D100510,IDbyDNA-5421,Escherichia coli,,4.477121254719663,4.653212513775344
98,IDBD-D100511,IDbyDNA-5423,Escherichia coli,,4.6020599913279625,4.812913356642856
99,IDBD-D100512,IDbyDNA-5428,Escherichia coli,5.909914043034889,4.903089986991944,5.2552725051033065
100,IDBD-D100513,IDbyDNA-5447,Coagulase negative,,4.0,4.778151250383644
101,IDBD-D100514,IDbyDNA-5448,Beta Hemolytic,5.860452719319085,4.301029995663981,
102,IDBD-D100492,IDbyDNA-5478,Escherichia coli,9.497649060317888,5.0,6.051152522447381
