id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
11306	species	Streptomyces sp. WAC00288	1	6	6	6	6	6.00	0.00	[6]
11307	species	Vagococcus teuberi	1	6	6	6	6	6.00	0.00	[6]
11308	species	Rothia mucilaginosa	3	3	3	3	3	3.00	0.00	[3, 3, 3]
11309	species	Martelella endophytica	1	3	3	3	3	3.00	0.00	[3]
11310	species	Thermincola potens	1	3	3	3	3	3.00	0.00	[3]
11311	species	Herbinix luporum	1	4	4	4	4	4.00	0.00	[4]
11312	species	Clostridium saccharobutylicum	5	12	12	12	12	12.00	0.00	[12, 12, 12, 12, 12]
11313	species	Mycobacterium leprae	4	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1]
11314	species	Flavobacterium sp. HYN0056	1	6	6	6	6	6.00	0.00	[6]
11315	species	Neisseria sp. 10022	1	3	3	3	3	3.00	0.00	[3]
11316	species	Prosthecochloris sp. CIB 2401	1	2	2	2	2	2.00	0.00	[2]
11317	species	Gordonibacter urolithinfaciens	1	3	3	3	3	3.00	0.00	[3]
11318	species	Oceanobacillus sp. 143	1	10	10	10	10	10.00	0.00	[10]
11319	species	Nostoc sp. PCC 7120	1	4	4	4	4	4.00	0.00	[4]
11320	species	Acidovorax sp. T1	1	4	4	4	4	4.00	0.00	[4]
11321	species	Thermus thermophilus	5	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2]
11322	species	Fastidiosipila sanguinis	1	2	2	2	2	2.00	0.00	[2]
11323	species	Rhodocyclaceae bacterium	1	3	3	3	3	3.00	0.00	[3]
11324	species	Corynebacterium sphenisci	1	3	3	3	3	3.00	0.00	[3]
11325	species	Ruminococcaceae bacterium CPB6	1	3	3	3	3	3.00	0.00	[3]
11326	species	Thermotoga sp. 2812B	1	1	1	1	1	1.00	0.00	[1]
11327	species	Nitrosomonas communis	1	1	1	1	1	1.00	0.00	[1]
11328	species	Deinococcus puniceus	1	3	3	3	3	3.00	0.00	[3]
11329	species	Modestobacter marinus	1	3	3	3	3	3.00	0.00	[3]
11330	species	Psychromicrobium lacuslunae	1	2	2	2	2	2.00	0.00	[2]
11331	species	Corynebacterium phocae	1	4	4	4	4	4.00	0.00	[4]
11332	species	Lactobacillales bacterium	1	3	3	3	3	3.00	0.00	[3]
11333	species	Acidovorax ebreus	1	3	3	3	3	3.00	0.00	[3]
11334	species	Gemmatimonas aurantiaca	1	1	1	1	1	1.00	0.00	[1]
11335	species	Deinococcus wulumuqiensis	1	3	3	3	3	3.00	0.00	[3]
11336	species	Methanoculleus marisnigri	1	1	1	1	1	1.00	0.00	[1]
11337	species	Dickeya dianthicola	2	7	7	7	7.0	7.00	0.00	[7, 7]
11338	species	Candidatus Blochmannia pennsylvanicus	1	1	1	1	1	1.00	0.00	[1]
11339	species	Massilia sp. YMA4	1	7	7	7	7	7.00	0.00	[7]
11340	species	Scardovia inopinata	1	2	2	2	2	2.00	0.00	[2]
11341	species	Marinobacter hydrocarbonoclasticus	2	3	3	3	3.0	3.00	0.00	[3, 3]
11342	species	Solimonas sp. K1W22B-7	1	2	2	2	2	2.00	0.00	[2]
11343	species	Altererythrobacter dongtanensis	1	1	1	1	1	1.00	0.00	[1]
11344	species	Nitrosospira briensis	1	1	1	1	1	1.00	0.00	[1]
11345	species	Microvirga ossetica	1	4	4	4	4	4.00	0.00	[4]
11346	species	Xenorhabdus doucetiae	1	7	7	7	7	7.00	0.00	[7]
11347	species	Candidatus Xiphinematobacter sp. Idaho Grape	1	1	1	1	1	1.00	0.00	[1]
11348	species	Burkholderia pyrrocinia	2	6	6	6	6.0	6.00	0.00	[6, 6]
11349	species	Erythrobacter sp. Alg231-14	1	1	1	1	1	1.00	0.00	[1]
11350	species	Nocardia cyriacigeorgica	2	3	3	3	3.0	3.00	0.00	[3, 3]
11351	species	Staphylococcus haemolyticus	5	5	6	6	6	5.80	0.40	[5, 6, 6, 6, 6]
11352	species	Bartonella sp. JB63	1	2	2	2	2	2.00	0.00	[2]
11353	species	Rickettsia prowazekii	10	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
11354	species	Fuerstia marisgermanicae	1	2	2	2	2	2.00	0.00	[2]
11355	species	Marinitoga piezophila	1	3	3	3	3	3.00	0.00	[3]
11356	species	Pseudoalteromonas sp. 1_2015MBL_MicDiv	1	9	9	9	9	9.00	0.00	[9]
11357	species	Janthinobacterium svalbardensis	1	8	8	8	8	8.00	0.00	[8]
11358	species	Campylobacter jejuni	144	1	3	3	3.0	2.08	0.99	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3]
11359	species	Streptomyces leeuwenhoekii	1	6	6	6	6	6.00	0.00	[6]
11360	species	Flavobacterium sp. AJ004	1	6	6	6	6	6.00	0.00	[6]
11361	species	Azospirillum thiophilum	2	7	9		8.0	8.00	1.00	[9, 7]
11362	species	Erwinia tasmaniensis	1	7	7	7	7	7.00	0.00	[7]
11363	species	Planococcus faecalis	1	9	9	9	9	9.00	0.00	[9]
11364	species	Treponema putidum	1	2	2	2	2	2.00	0.00	[2]
11365	species	Nitratireductor basaltis	1	1	1	1	1	1.00	0.00	[1]
11366	species	Streptomyces dengpaensis	1	6	6	6	6	6.00	0.00	[6]
11367	species	Actinoalloteichus hymeniacidonis	1	3	3	3	3	3.00	0.00	[3]
11368	species	Fermentimonas caenicola	1	2	2	2	2	2.00	0.00	[2]
11369	species	Alteromonas addita	1	5	5	5	5	5.00	0.00	[5]
11370	species	Kocuria flava	1	3	3	3	3	3.00	0.00	[3]
11371	species	Sphingobium yanoikuyae	2	4	4	4	4.0	4.00	0.00	[4, 4]
11372	species	Gordonia phthalatica	1	4	4	4	4	4.00	0.00	[4]
11373	species	Caldicellulosiruptor kronotskyensis	1	3	3	3	3	3.00	0.00	[3]
11374	species	Altererythrobacter marensis	1	1	1	1	1	1.00	0.00	[1]
11375	species	Brevundimonas sp. LM2	1	2	2	2	2	2.00	0.00	[2]
11376	species	Herminiimonas arsenicoxydans	1	2	2	2	2	2.00	0.00	[2]
11377	species	Paraburkholderia caffeinilytica	1	6	6	6	6	6.00	0.00	[6]
11378	species	Mycoplasma haemocanis	1	1	1	1	1	1.00	0.00	[1]
11379	species	Chromobacterium sp. IIBBL 112-1	1	8	8	8	8	8.00	0.00	[8]
11380	species	Tatumella citrea	2	7	7	7	7.0	7.00	0.00	[7, 7]
11381	species	Actinomyces pacaensis	1	3	3	3	3	3.00	0.00	[3]
11382	species	Pseudoalteromonas atlantica	2	5	8		6.5	6.50	1.50	[5, 8]
11383	species	Halomonas elongata	1	4	4	4	4	4.00	0.00	[4]
11384	species	endosymbiont of unidentified scaly snail isolate Monju	1	1	1	1	1	1.00	0.00	[1]
11385	species	Trichormus azollae	1	4	4	4	4	4.00	0.00	[4]
11386	species	Campylobacter sp. RM16704	1	3	3	3	3	3.00	0.00	[3]
11387	species	Bifidobacterium thermophilum	1	4	4	4	4	4.00	0.00	[4]
11388	species	Rhizobium gallicum	2	3	3	3	3.0	3.00	0.00	[3, 3]
11389	species	Hafnia sp. CBA7124	1	8	8	8	8	8.00	0.00	[8]
11390	species	Dokdonella koreensis	1	2	2	2	2	2.00	0.00	[2]
11391	species	Fusobacterium necrophorum	1	6	6	6	6	6.00	0.00	[6]
11392	species	Aerococcaceae bacterium ZY16052	1	4	4	4	4	4.00	0.00	[4]
11393	species	Pseudomonas sp. LH1G9	1	6	6	6	6	6.00	0.00	[6]
11394	species	Citrobacter freundii	14	8	9	8	8.0	8.07	0.26	[8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8]
11395	species	Desulfosporosinus meridiei	1	11	11	11	11	11.00	0.00	[11]
11396	species	Geobacillus sp. WCH70	1	10	10	10	10	10.00	0.00	[10]
11397	species	Mycoplasma flocculare	1	1	1	1	1	1.00	0.00	[1]
11398	species	Enterobacter bugandensis	1	8	8	8	8	8.00	0.00	[8]
11399	species	Enterococcus durans	3	6	6	6	6	6.00	0.00	[6, 6, 6]
11400	species	Arthrobacter crystallopoietes	1	9	9	9	9	9.00	0.00	[9]
11401	species	Archaeoglobus profundus	1	1	1	1	1	1.00	0.00	[1]
11402	species	Chlamydia avium	1	1	1	1	1	1.00	0.00	[1]
11403	species	Xanthomonas citri	56	1	2	2	2.0	1.98	0.13	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]
11404	species	Clostridium ljungdahlii	1	9	9	9	9	9.00	0.00	[9]
11405	species	Lactobacillus hokkaidonensis	1	4	4	4	4	4.00	0.00	[4]
11406	species	Candidatus Planktophila limnetica	1	1	1	1	1	1.00	0.00	[1]
11407	species	Muricauda ruestringensis	1	2	2	2	2	2.00	0.00	[2]
11408	species	Rhodococcus sp. S2-17	1	4	4	4	4	4.00	0.00	[4]
11409	species	Gluconobacter oxydans	5	4	5	4	4	4.40	0.49	[4, 5, 4, 5, 4]
11410	species	Streptomyces lincolnensis	2	6	6	6	6.0	6.00	0.00	[6, 6]
11411	species	Plesiomonas shigelloides	2	11	13		12.0	12.00	1.00	[13, 11]
11412	species	Agrobacterium sp. RAC06	1	3	3	3	3	3.00	0.00	[3]
11413	species	Exiguobacterium sibiricum	1	9	9	9	9	9.00	0.00	[9]
11414	species	Halomonas sp. KO116	1	6	6	6	6	6.00	0.00	[6]
11415	species	Nocardia farcinica	3	3	3	3	3	3.00	0.00	[3, 3, 3]
11416	species	Sphingomonas sp. KC8	1	2	2	2	2	2.00	0.00	[2]
11417	species	Helicobacter cinaedi	2	2	2	2	2.0	2.00	0.00	[2, 2]
11418	species	Ottowia oryzae	1	2	2	2	2	2.00	0.00	[2]
11419	species	Sphingomonas sp. LK11	1	4	4	4	4	4.00	0.00	[4]
11420	species	Pseudarthrobacter chlorophenolicus	1	5	5	5	5	5.00	0.00	[5]
11421	species	Psychromonas sp. CNPT3	1	10	10	10	10	10.00	0.00	[10]
11422	species	Legionella spiritensis	1	3	3	3	3	3.00	0.00	[3]
11423	species	Mycoplasma yeatsii	1	2	2	2	2	2.00	0.00	[2]
11424	species	Euzebya sp. DY32-46	1	2	2	2	2	2.00	0.00	[2]
11425	species	Polynucleobacter necessarius	8	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1]
11426	species	Vulcanisaeta moutnovskia	1	1	1	1	1	1.00	0.00	[1]
11427	species	Serratia ficaria	1	7	7	7	7	7.00	0.00	[7]
11428	species	Pseudomonas savastanoi	2	5	5	5	5.0	5.00	0.00	[5, 5]
11429	species	Mycoplasma hyorhinis	7	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1, 1, 1]
11430	species	'Leptospirillum sp. Group II ''CF-1'''	1	2	2	2	2	2.00	0.00	[2]
11431	species	Amycolatopsis sp. BJA-103	1	4	4	4	4	4.00	0.00	[4]
11432	species	Propionimicrobium sp. Marseille-P3275	1	2	2	2	2	2.00	0.00	[2]
11433	species	Leptospira borgpetersenii	5	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2]
11434	species	Sphingomonas sp. NIC1	1	2	2	2	2	2.00	0.00	[2]
11435	species	Pantoea agglomerans	2	7	7	7	7.0	7.00	0.00	[7, 7]
11436	species	Thermococcus cleftensis	1	1	1	1	1	1.00	0.00	[1]
11437	species	Francisella sp. TX077310	1	3	3	3	3	3.00	0.00	[3]
11438	species	Methanocaldococcus jannaschii	1	2	2	2	2	2.00	0.00	[2]
11439	species	Methanoregula boonei	1	1	1	1	1	1.00	0.00	[1]
11440	species	Rhodococcus sp. H-CA8f	1	5	5	5	5	5.00	0.00	[5]
11441	species	Haemophilus aegyptius	1	6	6	6	6	6.00	0.00	[6]
11442	species	Mycobacteroides chelonae	2	1	1	1	1.0	1.00	0.00	[1, 1]
11443	species	Steroidobacter denitrificans	1	1	1	1	1	1.00	0.00	[1]
11444	species	Mycoplasma hominis	5	1	2	2	2	1.80	0.40	[2, 2, 1, 2, 2]
11445	species	Ramlibacter tataouinensis	2	1	2		1.5	1.50	0.50	[1, 2]
11446	species	Pusillimonas sp. T7-7	1	2	2	2	2	2.00	0.00	[2]
11447	species	Microterricola viridarii	1	3	3	3	3	3.00	0.00	[3]
11448	species	Corynebacterium glutamicum	25	5	6	6	6	5.92	0.27	[5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
11449	species	Acinetobacter sp. LoGeW2-3	1	7	7	7	7	7.00	0.00	[7]
11450	species	Spiroplasma monobiae	2	1	1	1	1.0	1.00	0.00	[1, 1]
11451	species	Mycoplasma bovigenitalium	1	2	2	2	2	2.00	0.00	[2]
11452	species	Thermobacillus composti	1	5	5	5	5	5.00	0.00	[5]
11453	species	Halobacillus halophilus	2	7	7	7	7.0	7.00	0.00	[7, 7]
11454	species	Shewanella halifaxensis	1	10	10	10	10	10.00	0.00	[10]
11455	species	'Microbacterium sp. str. ''China'''	1	2	2	2	2	2.00	0.00	[2]
11456	species	Chroococcidiopsis thermalis	1	3	3	3	3	3.00	0.00	[3]
11457	species	Rhodococcus rhodochrous	1	4	4	4	4	4.00	0.00	[4]
11458	species	Ochrobactrum anthropi	2	4	4	4	4.0	4.00	0.00	[4, 4]
11459	species	Campylobacter hyointestinalis	2	3	3	3	3.0	3.00	0.00	[3, 3]
11460	species	Rhodovulum sp. P5	1	3	3	3	3	3.00	0.00	[3]
11461	species	Sphingobium baderi	1	2	2	2	2	2.00	0.00	[2]
11462	species	Trichormus variabilis	1	4	4	4	4	4.00	0.00	[4]
11463	species	Pseudomonas koreensis	3	5	6	6	6	5.67	0.47	[5, 6, 6]
11464	species	Mycolicibacterium phlei	1	2	2	2	2	2.00	0.00	[2]
11465	species	Haliscomenobacter hydrossis	1	2	2	2	2	2.00	0.00	[2]
11466	species	Lactobacillus helsingborgensis	1	4	4	4	4	4.00	0.00	[4]
11467	species	Staphylococcus auricularis	1	5	5	5	5	5.00	0.00	[5]
11468	species	Bordetella petrii	1	3	3	3	3	3.00	0.00	[3]
11469	species	Candidatus Phytoplasma mali	1	2	2	2	2	2.00	0.00	[2]
11470	species	Streptomyces spongiicola	1	6	6	6	6	6.00	0.00	[6]
11471	species	Ruegeria pomeroyi	1	3	3	3	3	3.00	0.00	[3]
11472	species	Myxococcus hansupus	1	4	4	4	4	4.00	0.00	[4]
11473	species	Gemmatirosa kalamazoonesis	1	2	2	2	2	2.00	0.00	[2]
11474	species	Thermococcus peptonophilus	1	1	1	1	1	1.00	0.00	[1]
11475	species	Methylophilus sp. TWE2	1	2	2	2	2	2.00	0.00	[2]
11476	species	Pectobacterium wasabiae	1	7	7	7	7	7.00	0.00	[7]
11477	species	Draconibacterium orientale	1	2	2	2	2	2.00	0.00	[2]
11478	species	Carboxydothermus hydrogenoformans	1	4	4	4	4	4.00	0.00	[4]
11479	species	Pantoea alhagi	1	7	7	7	7	7.00	0.00	[7]
11480	species	Lactobacillus rhamnosus	15	5	5	5	5	5.00	0.00	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
11481	species	Dehalococcoides sp. UCH007	1	1	1	1	1	1.00	0.00	[1]
11482	species	Streptomyces atratus	1	6	6	6	6	6.00	0.00	[6]
11483	species	Haemophilus pittmaniae	1	6	6	6	6	6.00	0.00	[6]
11484	species	Bacillus aryabhattai	1	14	14	14	14	14.00	0.00	[14]
11485	species	Novibacillus thermophilus	1	4	4	4	4	4.00	0.00	[4]
11486	species	Leuconostoc kimchii	1	4	4	4	4	4.00	0.00	[4]
11487	species	Lactobacillus coryniformis	3	1	5	5	5	3.67	1.89	[1, 5, 5]
11488	species	Pseudorhodoplanes sinuspersici	1	1	1	1	1	1.00	0.00	[1]
11489	species	Cellulomonas gilvus	1	2	2	2	2	2.00	0.00	[2]
11490	species	Prevotella intermedia	14	4	4	4	4.0	4.00	0.00	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
11491	species	Borrelia afzelii	1	1	1	1	1	1.00	0.00	[1]
11492	species	Rickettsia canadensis	2	1	1	1	1.0	1.00	0.00	[1, 1]
11493	species	Thiohalobacter thiocyanaticus	1	1	1	1	1	1.00	0.00	[1]
11494	species	Thermosipho africanus	1	3	3	3	3	3.00	0.00	[3]
11495	species	Actinomyces sp. Chiba101	1	3	3	3	3	3.00	0.00	[3]
11496	species	Psychrobacter sp. G	1	4	4	4	4	4.00	0.00	[4]
11497	species	Kluyvera intermedia	1	7	7	7	7	7.00	0.00	[7]
11498	species	Pseudomonas sp. ATCC 13867	1	5	5	5	5	5.00	0.00	[5]
11499	species	Thermosediminibacter oceani	1	3	3	3	3	3.00	0.00	[3]
11500	species	Streptomyces sp. CFMR 7	1	6	6	6	6	6.00	0.00	[6]
11501	species	Desulfobacula toluolica	1	4	4	4	4	4.00	0.00	[4]
11502	species	Mycoplasma genitalium	5	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1]
11503	species	Acinetobacter equi	1	7	7	7	7	7.00	0.00	[7]
11504	species	Flavobacterium psychrophilum	9	1	6	6	6	3.78	2.48	[6, 6, 6, 6, 1, 1, 1, 1, 6]
11505	species	Pantoea stewartii	1	7	7	7	7	7.00	0.00	[7]
11506	species	Oenococcus oeni	2	2	2	2	2.0	2.00	0.00	[2, 2]
11507	species	Methylobacterium aquaticum	1	11	11	11	11	11.00	0.00	[11]
11508	species	Renibacterium salmoninarum	3	2	2	2	2	2.00	0.00	[2, 2, 2]
11509	species	Staphylococcus nepalensis	3	6	6	6	6	6.00	0.00	[6, 6, 6]
11510	species	Alistipes finegoldii	1	2	2	2	2	2.00	0.00	[2]
11511	species	Candidatus Gullanella endobia	1	1	1	1	1	1.00	0.00	[1]
11512	species	Rhodanobacter denitrificans	1	2	2	2	2	2.00	0.00	[2]
11513	species	Maribacter cobaltidurans	1	2	2	2	2	2.00	0.00	[2]
11514	species	Aeromonas schubertii	1	9	9	9	9	9.00	0.00	[9]
11515	species	Neomicrococcus aestuarii	1	3	3	3	3	3.00	0.00	[3]
11516	species	Mycoplasma sp. (ex Biomphalaria glabrata)	1	1	1	1	1	1.00	0.00	[1]
11517	species	Mesorhizobium amorphae	1	2	2	2	2	2.00	0.00	[2]
11518	species	Staphylothermus hellenicus	1	1	1	1	1	1.00	0.00	[1]
11519	species	Malacobacter mytili	1	6	6	6	6	6.00	0.00	[6]
11520	species	Kitasatospora sp. MMS16-BH015	1	11	11	11	11	11.00	0.00	[11]
11521	species	Xanthomonas oryzae	48	1	2	2	2.0	1.98	0.14	[2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
11522	species	Lactobacillus paracollinoides	3	6	6	6	6	6.00	0.00	[6, 6, 6]
11523	species	Thermococcus siculi	1	1	1	1	1	1.00	0.00	[1]
11524	species	Aliivibrio salmonicida	1	12	12	12	12	12.00	0.00	[12]
11525	species	Nonlabens dokdonensis	1	2	2	2	2	2.00	0.00	[2]
11526	species	Azospira oryzae	1	2	2	2	2	2.00	0.00	[2]
11527	species	Oxalobacter formigenes	2	1	2		1.5	1.50	0.50	[1, 2]
11528	species	Methanocaldococcus sp. FS406-22	1	2	2	2	2	2.00	0.00	[2]
11529	species	Verrucomicrobia bacterium	1	1	1	1	1	1.00	0.00	[1]
11530	species	Humibacter sp. BT305	1	2	2	2	2	2.00	0.00	[2]
11531	species	Spiroplasma syrphidicola	1	1	1	1	1	1.00	0.00	[1]
11532	species	Acidithiobacillus ferrivorans	1	2	2	2	2	2.00	0.00	[2]
11533	species	Lactococcus raffinolactis	1	4	4	4	4	4.00	0.00	[4]
11534	species	Lactobacillus curieae	1	5	5	5	5	5.00	0.00	[5]
11535	species	Citrobacter youngae	1	8	8	8	8	8.00	0.00	[8]
11536	species	Erythrobacter sp. KY5	1	1	1	1	1	1.00	0.00	[1]
11537	species	Prosthecochloris sp. HL-130-GSB	1	2	2	2	2	2.00	0.00	[2]
11538	species	Paenibacillus sp. lzh-N1	1	15	15	15	15	15.00	0.00	[15]
11539	species	Synechococcus sp. JA-3-3Ab	1	2	2	2	2	2.00	0.00	[2]
11540	species	Marinobacter salinus	1	3	3	3	3	3.00	0.00	[3]
11541	species	Acidilobus saccharovorans	1	1	1	1	1	1.00	0.00	[1]
11542	species	Stenotrophomonas nitritireducens	1	4	4	4	4	4.00	0.00	[4]
11543	species	Filifactor alocis	1	4	4	4	4	4.00	0.00	[4]
11544	species	Thermoanaerobacterium saccharolyticum	1	5	5	5	5	5.00	0.00	[5]
11545	species	Vibrio scophthalmi	2	9	13		11.0	11.00	2.00	[13, 9]
11546	species	Methanosarcina vacuolata	1	3	3	3	3	3.00	0.00	[3]
11547	species	Corynebacterium epidermidicanis	1	4	4	4	4	4.00	0.00	[4]
11548	species	Paenibacillus polymyxa	11	11	15		13	13.00	1.13	[12, 13, 14, 12, 13, 15, 14, 11, 12, 13, 14]
11549	species	Spiroplasma phoeniceum	1	1	1	1	1	1.00	0.00	[1]
11550	species	Natranaerobius thermophilus	1	4	4	4	4	4.00	0.00	[4]
11551	species	Leptospira biflexa	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
11552	species	Psychrobacter arcticus	1	4	4	4	4	4.00	0.00	[4]
11553	species	Lactococcus garvieae	3	5	5	5	5	5.00	0.00	[5, 5, 5]
11554	species	Pseudothermotoga thermarum	1	1	1	1	1	1.00	0.00	[1]
11555	species	Variovorax boronicumulans	1	2	2	2	2	2.00	0.00	[2]
11556	species	Yangia sp. CCB-MM3	1	5	5	5	5	5.00	0.00	[5]
11557	species	Croceicoccus naphthovorans	1	1	1	1	1	1.00	0.00	[1]
11558	species	Kitasatospora aureofaciens	1	9	9	9	9	9.00	0.00	[9]
11559	species	Clostridium chauvoei	3	9	9	9	9	9.00	0.00	[9, 9, 9]
11560	species	Selenomonas sp. oral taxon 478	1	4	4	4	4	4.00	0.00	[4]
11561	species	Microbacterium chocolatum	1	2	2	2	2	2.00	0.00	[2]
11562	species	Bordetella pseudohinzii	1	3	3	3	3	3.00	0.00	[3]
11563	species	Amycolatopsis japonica	1	4	4	4	4	4.00	0.00	[4]
11564	species	Methylosinus trichosporium	1	3	3	3	3	3.00	0.00	[3]
11565	species	Wigglesworthia glossinidia	2	2	2	2	2.0	2.00	0.00	[2, 2]
11566	species	[Clostridium] saccharolyticum	1	6	6	6	6	6.00	0.00	[6]
11567	species	Bibersteinia trehalosi	4	6	6	6	6.0	6.00	0.00	[6, 6, 6, 6]
11568	species	Mycobacterium phlei	1	2	2	2	2	2.00	0.00	[2]
11569	species	Xanthomonas perforans	2	2	2	2	2.0	2.00	0.00	[2, 2]
11570	species	Actinobacteria bacterium IMCC26077	1	1	1	1	1	1.00	0.00	[1]
11571	species	[Clostridium] bolteae	1	5	5	5	5	5.00	0.00	[5]
11572	species	Methylocystis sp. SC2	1	1	1	1	1	1.00	0.00	[1]
11573	species	Xenorhabdus nematophila	1	7	7	7	7	7.00	0.00	[7]
11574	species	Rhizobium tropici	1	3	3	3	3	3.00	0.00	[3]
11575	species	Acidovorax sp. KKS102	1	3	3	3	3	3.00	0.00	[3]
11576	species	Mycoplasma pullorum	1	2	2	2	2	2.00	0.00	[2]
11577	species	Desulfovibrio africanus	1	3	3	3	3	3.00	0.00	[3]
11578	species	Pseudonocardia sp. HH130630-07	1	3	3	3	3	3.00	0.00	[3]
11579	species	Simplicispira suum	1	3	3	3	3	3.00	0.00	[3]
11580	species	Marivirga tractuosa	1	2	2	2	2	2.00	0.00	[2]
