Species,Species taxid,16S gene count
Acinetobacter wuhouensis,1879050,7.0
Actinoalloteichus hoggarensis,1470176,3.0
Actinoalloteichus hymeniacidonis,340345,3.0
Actinoalloteichus sp. ADI127-7,1612552,3.0
Actinoalloteichus sp. AHMU CJ021,2072503,3.0
Actinoalloteichus sp. GBA129-24,1612551,3.0
Actinobacillus equuli,718,6.0
Actinobacillus pleuropneumoniae,715,6.0
Actinobacillus porcitonsillarum,189834,6.0
Actinobacillus succinogenes,67854,6.0
Actinobacillus suis,716,6.0
Actinobacteria bacterium IMCC19121,1848754,1.0
Actinobacteria bacterium IMCC25003,1848255,1.0
Actinobacteria bacterium IMCC26077,1848755,1.0
Actinobacteria bacterium IMCC26103,1848756,1.0
Actinobacteria bacterium IMCC26256,1650658,1.0
Actinomyces gaoshouyii,1960083,3.0
Actinomyces meyeri,52773,3.0
Actinomyces naeslundii,1655,3.0
Actinomyces oris,544580,3.0
Actinomyces pacaensis,1852377,3.0
Actinomyces radicidentis,111015,3.0
Actinomyces sp. Chiba101,1851395,3.0
Actinomyces sp. VUL4_3,1912795,3.0
Actinomyces sp. Z16,2079536,3.0
Actinomyces sp. oral taxon 414,712122,3.0
Actinomyces sp. oral taxon 897,2081702,3.0
Actinoplanes friuliensis,196914,3.0
Actinoplanes missouriensis,1866,6.0
Actinoplanes sp. N902-109,649831,4.0
Actinoplanes sp. SE50,2033844,6.0
Actinoplanes sp. SE50/110,134676,6.0
Actinopolyspora erythraea,414996,5.0
Actinosynnema mirum,40567,5.0
Actinosynnema pretiosum,42197,5.0
Actinotignum schaalii,59505,3.0
Actinotignum sp. 313,2171980,2.0
Adlercreutzia equolifaciens,446660,2.0
Advenella kashmirensis,310575,2.0
Advenella mimigardefordensis,302406,2.0
Aequorivita sublithincola,101385,2.0
Aeribacillus pallidus,33936,7.0
Aerococcaceae bacterium ZY16052,2036206,4.0
Aerococcus christensenii,87541,4.0
Aerococcus sanguinicola,119206,4.0
Aerococcus urinae,1376,4.0
Aerococcus urinaeequi,51665,5.5
Aerococcus urinaehominis,128944,4.0
Aerococcus viridans,1377,7.0
Aeromicrobium erythreum,2041,2.0
Aeromicrobium sp. 592,2079793,2.0
Aeromicrobium sp. A1-2,2107713,2.0
Aeromonas aquatica,558964,10.0
Aeromonas caviae,648,10.0
Aeromonas dhakensis,196024,10.0
Aeromonas hydrophila,644,10.0
Aeromonas media,651,11.0
Aeromonas rivipollensis,948519,10.0
Aeromonas salmonicida,645,10.0
Aeromonas schubertii,652,9.0
Aeromonas sp. ASNIH1,1636606,10.0
Aeromonas sp. ASNIH2,1636607,10.0
Aeromonas sp. ASNIH3,1636608,10.0
Aeromonas sp. ASNIH4,1636609,10.0
Aeromonas sp. ASNIH5,1758179,10.0
Aeromonas sp. ASNIH7,1920107,10.0
Aeromonas sp. CA23,2033032,10.0
Aeromonas sp. CU5,2033033,10.0
Aeromonas veronii,654,10.0
Agarilytica rhodophyticola,1737490,3.0
Agarivorans gilvus,680279,7.0
Aggregatibacter actinomycetemcomitans,714,6.0
Aggregatibacter aphrophilus,732,6.0
Aggregatibacter segnis,739,6.0
Agrobacterium fabrum,1176649,4.0
Agrobacterium rhizogenes,359,4.0
Agrobacterium sp. H13-3,861208,5.0
Agrobacterium sp. RAC06,1842536,3.0
Agrobacterium tumefaciens,358,4.0
Agrobacterium vitis,373,4.0
Agromyces aureus,453304,3.0
Agromyces sp. 30A,2080742,2.0
Ahniella affigens,2021234,2.0
Akkermansia glycaniphila,1679444,3.0
Akkermansia muciniphila,239935,3.0
Alcaligenes faecalis,511,3.0
Alcanivorax borkumensis,59754,3.0
Alcanivorax dieselolei,285091,2.0
Alcanivorax pacificus,1306787,2.0
Alcanivorax sp. NBRC 101098,1113728,3.0
Alcanivorax xenomutans,1094342,2.0
Algibacter alginicilyticus,1736674,2.0
Algoriphagus sp. M8-2,1727163,3.0
Alicycliphilus denitrificans,179636,3.0
Alicyclobacillus acidocaldarius,405212,6.0
Aliiarcobacter butzleri,28197,5.0
Aliiarcobacter trophiarum,708186,5.0
Aliivibrio fischeri,668,12.0
Aliivibrio salmonicida,40269,12.0
Aliivibrio wodanis,80852,7.0
Alistipes finegoldii,214856,2.0
Alkalilimnicola ehrlichii,351052,2.0
Alkaliphilus metalliredigens,208226,10.0
Alkaliphilus oremlandii,461876,8.0
Alkalitalea saponilacus,889453,4.0
Alloactinosynnema sp. L-07,1653480,3.0
Allochromatium vinosum,1049,3.0
Allofrancisella guangzhouensis,594679,3.0
Altererythrobacter atlanticus,1267766,2.0
Altererythrobacter dongtanensis,692370,1.0
Altererythrobacter epoxidivorans,361183,1.0
Altererythrobacter ishigakiensis,476157,1.0
Altererythrobacter mangrovi,1982042,1.0
Altererythrobacter marensis,543877,1.0
Altererythrobacter namhicola,645517,1.0
Alteromonas addita,287094,5.0
Alteromonas australica,589873,5.0
Alteromonas macleodii,28108,5.0
Alteromonas mediterranea,314275,5.0
Alteromonas naphthalenivorans,715451,5.0
Alteromonas sp. BL110,1714845,5.0
Alteromonas sp. MB-3u-76,2058133,5.0
Alteromonas sp. Mac1,1777491,7.0
Alteromonas sp. RW2A1,1917158,5.0
Alteromonas stellipolaris,233316,5.0
Aminobacter aminovorans,83263,3.0
Aminobacter sp. MSH1,374606,2.0
Aminobacterium colombiense,81468,3.0
Ammonifex degensii,42838,2.0
Amphibacillus xylanus,1449,6.0
Amycolatopsis albispora,1804986,4.0
Amycolatopsis japonica,208439,4.0
Amycolatopsis mediterranei,33910,4.0
Amycolatopsis methanolica,1814,3.0
Amycolatopsis orientalis,31958,4.0
Amycolatopsis sp. AA4,1896961,4.0
Amycolatopsis sp. BJA-103,1911175,4.0
Anabaena cylindrica,1165,4.0
Anabaena sp. 90,46234,5.0
Anabaena sp. WA102,1647413,5.0
Anabaenopsis elenkinii,156213,4.0
Anabaenopsis sp. PCC 9215,165800,4.0
Anaerococcus mediterraneensis,1870984,3.0
Anaerococcus prevotii,33034,4.0
Anaerolinea thermophila,167964,2.0
Anaerolineaceae bacterium oral taxon 439,1889813,2.0
Anaeromyxobacter dehalogenans,161493,2.0
Anaeromyxobacter sp. Fw109-5,404589,2.0
Anaeromyxobacter sp. K,447217,2.0
Anaerostipes hadrus,649756,9.0
Anaerotignum propionicum,28446,7.0
Anaplasma centrale,769,1.0
Anaplasma marginale,770,1.0
Anaplasma ovis,142058,1.0
Anaplasma phagocytophilum,948,1.0
Anderseniella sp. Alg231-50,1922226,1.0
Aneurinibacillus soli,1500254,17.0
Aneurinibacillus sp. XH2,1450761,11.0
Anoxybacillus amylolyticus,294699,7.0
Anoxybacillus flavithermus,33934,9.0
Anoxybacillus gonensis,198467,8.0
Anoxybacillus sp. B2M1,1490052,9.0
Anoxybacillus sp. B7M1,1490057,9.0
Antarctobacter heliothermus,74033,2.0
Aphanizomenon flos-aquae,1176,5.0
Aquabacterium olei,1296669,4.0
Aquaspirillum sp. LM1,1938604,5.0
Aquifex aeolicus,63363,2.0
Aquifex pyrophilus,2714,6.0
Aquimarina sp. AD1,1714848,3.0
Aquimarina sp. AD10,1714849,3.0
Aquimarina sp. BL5,1714860,3.0
Arachidicoccus sp. BS20,1850526,1.0
Arcanobacterium haemolyticum,28264,4.0
Archaeoglobus fulgidus,2234,1.0
Archaeoglobus profundus,84156,1.0
Archaeoglobus sulfaticallidus,1316941,1.0
Archaeoglobus veneficus,58290,1.0
Archangium gephyra,48,3.0
Arcobacter nitrofigilis,28199,4.0
Arcobacter sp. L,944547,5.0
Arcobacter sp. LPB0137,1850254,6.0
Arcticibacterium luteifluviistationis,1784714,2.0
Arenibacter algicola,616991,3.0
Aromatoleum aromaticum,551760,4.0
Arsenicicoccus sp. oral taxon 190,1658671,2.0
Arthrobacter alpinus,656366,7.0
Arthrobacter crystallopoietes,37928,9.0
Arthrobacter sp. ATCC 21022,1771959,4.0
Arthrobacter sp. DCT5,2211210,5.0
Arthrobacter sp. ERGS1:01,1704044,6.0
Arthrobacter sp. FB24,290399,5.0
Arthrobacter sp. Hiyo4,1588021,4.0
Arthrobacter sp. LS16,1690248,6.0
Arthrobacter sp. PAMC 25486,1494608,6.0
Arthrobacter sp. PGP41,2079227,4.0
Arthrobacter sp. QXT-31,1357915,6.0
Arthrobacter sp. Rue61a,1118963,6.0
Arthrobacter sp. U41,1849032,5.0
Arthrobacter sp. YC-RL1,1652545,6.0
Arthrobacter sp. YN,2020486,6.0
Arthrobacter sp. ZXY-2,1806905,6.0
Arthrospira sp. TJSD092,2153484,2.0
Asaia bogorensis,91915,5.0
Aster yellows witches'-broom phytoplasma,229545,2.0
Asticcacaulis excentricus,78587,3.0
Atopobium parvulum,1382,1.0
Aurantimicrobium minutum,708131,1.0
Aurantimicrobium sp. MWH-Mo1,1987356,1.0
Aurantimicrobium sp. MWH-Uga1,2079575,1.0
Aureimonas sp. AU20,1349819,1.0
Aureitalea sp. RR4-38,2094025,2.0
Auricoccus indicus,1849491,4.0
Auritidibacter sp. NML130574,2170745,2.0
Austwickia chelonae,100225,2.0
Azoarcus communis,41977,4.0
Azoarcus olearius,418699,4.0
Azoarcus sp. BH72,62928,4.0
Azoarcus sp. CIB,198107,4.0
Azoarcus sp. KH32C,748247,5.0
Azoarcus sp. SY39,2067960,3.0
Azorhizobium caulinodans,7,3.0
Azospira oryzae,146939,2.0
Azospirillum brasilense,192,9.5
Azospirillum lipoferum,193,9.0
Azospirillum sp. M2T2B2,682998,10.0
Azospirillum sp. TSH58,664962,9.0
Azospirillum thiophilum,528244,8.0
Azotobacter chroococcum,353,6.0
Azotobacter vinelandii,354,6.0
Bacillus altitudinis,293387,8.0
Bacillus amyloliquefaciens,1390,9.0
Bacillus anthracis,1392,11.0
Bacillus aryabhattai,412384,14.0
Bacillus atrophaeus,1452,8.0
Bacillus beveridgei,632773,7.0
Bacillus bombysepticus,658666,13.0
Bacillus butanolivorans,421767,12.0
Bacillus cellulasensis,1049581,7.0
Bacillus cellulosilyticus,1413,10.0
Bacillus cereus,1396,14.0
Bacillus clausii,79880,7.0
Bacillus coagulans,1398,10.0
Bacillus cohnii,33932,15.0
Bacillus cytotoxicus,580165,13.0
Bacillus filamentosus,1402861,11.0
Bacillus flexus,86664,12.0
Bacillus gibsonii,79881,10.0
Bacillus glycinifermentans,1664069,8.0
Bacillus halodurans,86665,8.0
Bacillus horikoshii,79883,8.0
Bacillus infantis,324767,9.0
Bacillus kochii,859143,10.0
Bacillus krulwichiae,199441,15.0
Bacillus lehensis,300825,7.0
Bacillus lentus,1467,9.0
Bacillus licheniformis,1402,8.0
Bacillus megaterium,1404,13.0
Bacillus methanolicus,1471,9.0
Bacillus muralis,264697,9.0
Bacillus mycoides,1405,14.0
Bacillus oceanisediminis,665099,11.0
Bacillus paralicheniformis,1648923,8.0
Bacillus pseudofirmus,79885,7.0
Bacillus pseudomycoides,64104,14.0
Bacillus pumilus,1408,8.0
Bacillus safensis,561879,8.0
Bacillus siamensis,659243,9.0
Bacillus simplex,1478,13.0
Bacillus smithii,1479,11.0
Bacillus sonorensis,119858,8.0
Bacillus sp. (in: Bacteria),1409,10.0
Bacillus sp. 1NLA3E,666686,12.0
Bacillus sp. 1s-1,2026248,8.0
Bacillus sp. 275,1941347,9.0
Bacillus sp. ABP14,1892404,13.0
Bacillus sp. BH072,1570330,9.0
Bacillus sp. DM2,2267265,10.0
Bacillus sp. FDAARGOS_235,1839798,14.0
Bacillus sp. FJAT-14266,1837130,12.0
Bacillus sp. H15-1,1856406,8.0
Bacillus sp. HBCD-sjtu,2053832,13.0
Bacillus sp. IHB B 7164,1827146,14.0
Bacillus sp. JS,1127744,10.0
Bacillus sp. LM 4-2,1628753,10.0
Bacillus sp. Lzh-5,2049935,9.0
Bacillus sp. MD-5,2009331,12.0
Bacillus sp. OxB-1,98228,8.0
Bacillus sp. Pc3,1446792,9.0
Bacillus sp. SDLI1,1774743,9.0
Bacillus sp. SJ-10,563169,9.0
Bacillus sp. WP8,756828,8.0
Bacillus sp. X1(2014),1565991,12.0
Bacillus sp. Y-01,2052936,13.0
Bacillus sp. YP1,1574141,10.0
Bacillus sp. ZY-1-1,2093834,9.0
Bacillus subtilis,1423,10.0
Bacillus thermoamylovorans,35841,8.0
Bacillus thuringiensis,1428,13.0
Bacillus toyonensis,155322,12.0
Bacillus vallismortis,72361,9.0
Bacillus velezensis,492670,9.0
Bacillus weihaiensis,1547283,11.0
Bacillus xiamenensis,1178537,8.0
Bacterioplanes sanyensis,1249553,4.0
Bacteriovorax stolpii,960,2.0
Bacteroidales bacterium CF,1400053,3.0
Bacteroides caccae,47678,5.0
Bacteroides caecimuris,1796613,5.0
Bacteroides cellulosilyticus,246787,4.0
Bacteroides dorei,357276,7.0
Bacteroides eggerthii,28111,
Bacteroides fragilis,817,6.0
Bacteroides helcogenes,290053,5.0
Bacteroides heparinolyticus,28113,4.0
Bacteroides ovatus,28116,5.0
Bacteroides salanitronis,376805,6.0
Bacteroides thetaiotaomicron,818,5.0
Bacteroides uniformis,820,
Bacteroides vulgatus,821,7.0
Bacteroides zoogleoformans,28119,4.0
Bacteroidetes bacterium Omega,1457365,3.0
Barnesiella viscericola,397865,5.0
Bartonella ancashensis,1318743,2.0
Bartonella apis,1686310,2.0
Bartonella australis,388640,2.0
Bartonella bacilliformis,774,2.0
Bartonella clarridgeiae,56426,2.0
Bartonella grahamii,33045,2.0
Bartonella henselae,38323,2.0
Bartonella quintana,803,2.0
Bartonella sp. 1-1C,515256,2.0
Bartonella sp. A1379B,1933910,2.0
Bartonella sp. JB15,1933906,2.0
Bartonella sp. JB63,1933907,2.0
Bartonella sp. Raccoon60,1933912,3.0
Bartonella sp. WD16.2,1933904,2.0
Bartonella tribocorum,85701,2.0
Bartonella vinsonii,33047,2.0
Basilea psittacipulmonis,1472345,3.0
Bathymodiolus septemdierum thioautotrophic gill symbiont,113267,1.0
Bdellovibrio bacteriovorus,959,2.0
Bdellovibrio exovorus,453816,1.0
Beggiatoa leptomitoformis,288004,2.0
Beijerinckia indica,533,3.0
Belliella baltica,232259,4.0
Bernardetia litoralis,999,3.0
Betaproteobacteria bacterium GR16-43,1904640,2.0
Beutenbergia cavernae,84757,2.0
Bibersteinia trehalosi,47735,6.0
Bifidobacterium actinocoloniiforme,638619,2.0
Bifidobacterium adolescentis,1680,4.0
Bifidobacterium angulatum,1683,4.0
Bifidobacterium animalis,28025,4.0
Bifidobacterium asteroides,1684,2.0
Bifidobacterium bifidum,1681,3.0
Bifidobacterium breve,1685,2.5
Bifidobacterium catenulatum,1686,5.0
Bifidobacterium choerinum,35760,4.0
Bifidobacterium coryneforme,1687,3.0
Bifidobacterium dentium,1689,4.0
Bifidobacterium indicum,1691,3.0
Bifidobacterium kashiwanohense,630129,5.0
Bifidobacterium longum,216816,4.0
Bifidobacterium pseudocatenulatum,28026,6.0
Bifidobacterium pseudolongum,1694,4.0
Bifidobacterium scardovii,158787,3.0
Bifidobacterium thermophilum,33905,4.0
Blastochloris viridis,1079,3.0
Blastococcus saxobsidens,138336,3.0
Blastomonas fulva,1550728,2.0
Blastomonas sp. RAC04,1842535,2.0
Blastopirellula marina,124,2.0
Blattabacterium clevelandi,164516,1.0
Blattabacterium cuenoti,1653831,1.0
Blattabacterium punctulatus,164514,1.0
Blattabacterium sp. (Blaberus giganteus),1186051,1.0
Blattabacterium sp. (Blatta orientalis),367806,1.0
Blattabacterium sp. (Blattella germanica),624186,1.0
Blattabacterium sp. (Cryptocercus kyebangensis),298656,1.0
Blattabacterium sp. (Mastotermes darwiniensis),39768,1.0
Blattabacterium sp. (Nauphoeta cinerea),1316444,1.0
Blattabacterium sp. (Periplaneta americana),367488,1.0
Blautia hansenii,1322,5.0
Blautia sp. N6H1-15,1912897,5.0
Blautia sp. YL58,1796616,5.0
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus,1505597,1.0
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri,1505596,1.0
Bordetella avium,521,3.0
Bordetella bronchialis,463025,3.0
Bordetella bronchiseptica,518,3.0
Bordetella flabilis,463014,3.0
Bordetella genomosp. 13,463040,3.0
Bordetella genomosp. 6,463024,3.0
Bordetella genomosp. 8,1416806,3.0
Bordetella genomosp. 9,1416803,3.0
Bordetella hinzii,103855,3.0
Bordetella holmesii,35814,3.0
Bordetella parapertussis,519,3.0
Bordetella pertussis,520,3.0
Bordetella petrii,94624,3.0
Bordetella pseudohinzii,1331258,3.0
Bordetella sp. H567,1697043,3.0
Bordetella sp. HZ20,2163011,3.0
Bordetella trematum,123899,4.5
Borrelia anserina,143,1.0
Borrelia duttonii,40834,1.0
Borrelia hermsii,140,1.0
Borrelia mayonii,1674146,1.0
Borrelia miyamotoi,47466,1.0
Borrelia recurrentis,44449,1.0
Borrelia turicatae,142,1.0
Borreliella afzelii,29518,1.0
Borreliella bavariensis,664662,1.0
Borreliella bissettii,64897,1.0
Borreliella burgdorferi,139,1.0
Borreliella garinii,29519,1.0
Borreliella valaisiana,62088,1.0
Bosea sp. AS-1,2015316,2.0
Bosea sp. PAMC 26642,1792307,1.0
Bosea sp. RAC05,1842539,2.0
Bosea vaviloviae,1526658,2.0
Brachybacterium faecium,43669,3.0
Brachybacterium ginsengisoli,1331682,3.0
Brachybacterium saurashtrense,556288,3.0
Brachybacterium sp. P6-10-X1,1903186,3.0
Brachybacterium sp. VM2412,2017484,3.0
Brachybacterium sp. VR2415,2017485,3.0
Brachyspira hyodysenteriae,159,1.0
Brachyspira intermedia,84377,1.0
Brachyspira murdochii,84378,1.0
Brachyspira pilosicoli,52584,1.0
Bradymonas sediminis,1548548,5.0
Bradyrhizobium diazoefficiens,1355477,1.0
Bradyrhizobium icense,1274631,1.0
Bradyrhizobium japonicum,375,2.0
Bradyrhizobium oligotrophicum,44255,2.0
Bradyrhizobium ottawaense,931866,1.0
Bradyrhizobium sp.,376,1.0
Bradyrhizobium sp. 2 39S1MB,1404768,1.0
Bradyrhizobium sp. 3 85S1MB,1404367,1.0
Bradyrhizobium sp. ANU289,186901,1.0
Bradyrhizobium sp. BTAi1,288000,2.0
Bradyrhizobium sp. CCGE-LA001,1223566,1.0
Bradyrhizobium sp. ORS 278,114615,2.0
Bradyrhizobium sp. ORS 285,115808,2.0
Bradyrhizobium sp. ORS 3257,167468,1.0
Bradyrhizobium sp. S23321,335659,1.0
Bradyrhizobium sp. SK17,2057741,1.0
Brenneria goodwinii,1109412,7.0
Breoghania sp. L-A4,2304600,2.0
Brevefilum fermentans,1986204,1.0
Brevibacillus brevis,1393,14.0
Brevibacillus formosus,54913,17.0
Brevibacillus laterosporus,1465,12.0
Brevibacterium linens,1703,4.0
Brevundimonas naejangsanensis,588932,2.0
Brevundimonas sp. DS20,1532555,2.0
Brevundimonas sp. GW460-12-10-14-LB2,1827469,2.0
Brevundimonas sp. LM2,1938605,2.0
Brevundimonas subvibrioides,74313,2.0
Brevundimonas vesicularis,41276,2.0
Brochothrix thermosphacta,2756,9.0
Brucella abortus,235,3.0
Brucella canis,36855,3.0
Brucella ceti,120577,3.0
Brucella melitensis,29459,3.0
Brucella microti,444163,3.0
Brucella ovis,236,3.0
Brucella pinnipedialis,120576,3.0
Brucella sp. 09RB8471,1149952,3.0
Brucella sp. 09RB8910,1844051,3.0
Brucella sp. 141012304,1885919,3.0
Brucella sp. 2002734562,1891098,3.0
Brucella suis,29461,3.0
Brucella vulpis,981386,3.0
Buchnera aphidicola,9,1.0
Burkholderia ambifaria,152480,6.0
Burkholderia cenocepacia,95486,6.0
Burkholderia cepacia,292,6.0
Burkholderia contaminans,488447,5.0
Burkholderia diffusa,488732,6.0
Burkholderia dolosa,152500,5.0
Burkholderia gladioli,28095,5.0
Burkholderia glumae,337,5.0
Burkholderia insecticola,758793,5.0
Burkholderia lata,482957,6.0
Burkholderia latens,488446,6.0
Burkholderia mallei,13373,4.0
Burkholderia metallica,488729,6.0
Burkholderia multivorans,87883,5.0
Burkholderia oklahomensis,342113,4.0
Burkholderia plantarii,41899,5.0
Burkholderia pseudomallei,28450,4.0
Burkholderia pseudomultivorans,1207504,6.0
Burkholderia pyrrocinia,60550,6.0
Burkholderia seminalis,488731,6.0
Burkholderia sp. 2002721687,1468409,4.0
Burkholderia sp. BDU6,1385591,4.0
Burkholderia sp. BDU8,1385592,4.0
Burkholderia sp. Bp5365,1740162,4.0
Burkholderia sp. Bp7605,1740163,4.0
Burkholderia sp. CCGE1001,640510,6.0
Burkholderia sp. CCGE1002,640511,7.0
Burkholderia sp. CCGE1003,640512,6.0
Burkholderia sp. HB1,1678678,6.0
Burkholderia sp. IDO3,1705310,6.0
Burkholderia sp. JP2-270,2217913,6.0
Burkholderia sp. KJ006,416344,6.0
Burkholderia sp. LA-2-3-30-S1-D2,1637862,6.0
Burkholderia sp. MSMB0266,1637837,4.0
Burkholderia sp. MSMB0852,1637841,4.0
Burkholderia sp. MSMB0856,1637869,6.0
Burkholderia sp. MSMB617WGS,1637831,4.0
Burkholderia sp. NRF60-BP8,1637853,6.0
Burkholderia sp. OLGA172,1804984,7.0
Burkholderia sp. PAMC 26561,1795043,4.0
Burkholderia sp. PAMC 28687,1795874,4.0
Burkholderia sp. RPE67,758796,6.0
Burkholderia sp. YI23,1097668,6.0
Burkholderia stabilis,95485,6.0
Burkholderia stagnalis,1503054,6.0
Burkholderia territorii,1503055,6.0
Burkholderia thailandensis,57975,4.0
Burkholderia ubonensis,101571,6.0
Burkholderia vietnamiensis,60552,6.0
Burkholderiales bacterium GJ-E10,1469502,1.0
Burkholderiales bacterium YL45,1834205,6.0
Butyrivibrio hungatei,185008,4.0
Butyrivibrio proteoclasticus,43305,6.0
Caldanaerobacter subterraneus,911092,4.0
Caldicellulosiruptor bescii,31899,3.0
Caldicellulosiruptor hydrothermalis,413888,3.0
Caldicellulosiruptor kristjanssonii,52765,3.0
Caldicellulosiruptor kronotskyensis,413889,3.0
Caldicellulosiruptor lactoaceticus,52766,3.0
Caldicellulosiruptor obsidiansis,717609,3.0
Caldicellulosiruptor owensensis,55205,3.0
Caldicellulosiruptor saccharolyticus,44001,3.0
Caldilinea aerophila,133453,2.0
Caldimicrobium thiodismutans,1653476,1.0
Caldisericum exile,693075,1.0
Caldisphaera lagunensis,200415,1.0
Calditerrivibrio nitroreducens,477976,2.0
Caldithrix abyssi,187145,1.0
Caldivirga maquilingensis,76887,1.0
Calothrix parietina,32054,4.0
Calothrix sp. 336/3,1337936,1.0
Calothrix sp. NIES-2098,1954171,4.0
Calothrix sp. NIES-3974,2005462,3.0
Calothrix sp. NIES-4071,2005469,5.0
Calothrix sp. NIES-4101,2005461,4.0
Calothrix sp. PCC 7507,99598,3.0
Calyptogena okutanii thioautotrophic gill symbiont,410330,1.0
Campylobacter avium,522485,2.0
Campylobacter coli,195,3.0
Campylobacter concisus,199,3.0
Campylobacter cuniculorum,374106,2.0
Campylobacter curvus,200,3.0
Campylobacter fetus,196,3.0
Campylobacter gracilis,824,3.0
Campylobacter helveticus,28898,3.0
Campylobacter hepaticus,1813019,3.0
Campylobacter hominis,76517,3.0
Campylobacter hyointestinalis,198,3.0
Campylobacter iguaniorum,1244531,3.0
Campylobacter insulaenigrae,260714,3.0
Campylobacter jejuni,197,3.0
Campylobacter lanienae,75658,3.0
Campylobacter lari,201,3.0
Campylobacter peloridis,488546,3.0
Campylobacter pinnipediorum,1965231,3.0
Campylobacter sp. NCTC 13003,1660064,3.0
Campylobacter sp. RM12175,1660076,3.0
Campylobacter sp. RM16704,1500960,3.0
Campylobacter sp. RM6137,1660073,3.0
Campylobacter sp. RM8964,1660074,3.0
Campylobacter sputorum,206,3.0
Campylobacter subantarcticus,497724,3.0
Campylobacter ureolyticus,827,3.0
Campylobacter volucris,1031542,3.0
Candidatus Accumulibacter phosphatis,327160,2.0
Candidatus Amoebophilus asiaticus,281120,1.0
Candidatus Arsenophonus lipoptenae,634113,1.0
Candidatus Arthromitus sp. SFB-mouse,49118,5.5
Candidatus Arthromitus sp. SFB-mouse-NL,1508644,5.0
